domain,name,category,name-2,note,note_date,source,source_url,url,date_added
"addictinginfo.com","Addicting Info","Political","","<p>From the sites About Us Page:</p></p>Addicting Info started as a resource to discredit all the lies and propaganda that the right-wing spreads. When I undertook the project I thought I would probably have about 100 different articles about a number of different myths, and people could sort through them at will. Eventually that expanded to news and other info, and I quickly realized the DAUNTING task of actually trying to discredit EVERY right-wing myth that is in existence, especially with the constant creation of new ones.</p>","2017-04-19 11:22:32","IsItFakeNews research","http://addictinginfo.org/addicting-info-about-us/","AddictingInfo.com","2016-11-16"
"alabamaobserver.com","","Warning","","","","","","AlabamaObserver.com","2017-07-19"
"americanflavor.news","","Fake News","","","","","","AmericanFlavor.news","2017-07-19"
"americannews.com","American News","Fake News","","<p>AmericanNews.com &quot;published a false story claiming actor Denzel Washington endorsed Donald Trump for president. The fictional headline attracted led to thousands of people sharing it on Facebook, a prominent example of fake news spreading on the social network prior to the 2016 presidential election.</p>","2017-03-29 23:22:42","Wikipedia","https://en.wikipedia.org/wiki/List_of_fake_news_websites","AmericanNews.com","2016-11-16"
"americanpeoplenetwork.com","","Fake News","","","","","","AmericanPeopleNetwork.com","2017-07-19"
"americanpoliticnews.co","","Fake News","","","","","","AmericanPoliticNews.co","2017-07-19"
"americanpresident.co","","Fake News","","","","","","AmericanPresident.co","2017-07-19"
"amposts.com","","Fake News","","","","","","AMPosts.com","2017-07-19"
"anews24.org","","Fake News","","","","","","ANews24.org","2017-07-19"
"angrypatriotmovement.com","","Fake News","","","","","","AngryPatriotMovement.com","2017-07-19"
"anonjekloy.tk","","Fake News","","","","","","Anonjekloy.tk","2017-07-19"
"anonnews.co","AnonNews.co","Warning","","","","","","AnonNews.co","2016-11-16"
"associatedmediacoverage.com","Associated Media Coverage","Satire","","","","","","AssociatedMediaCoverage.com","2016-11-16"
"aurora-news.us","","Warning","","","","","","Aurora-News.us","2017-07-19"
"bb4sp.com","","Fake News","","","","","","BB4SP.com","2017-07-19"
"bbc.co.uk/news","BBC","Reliable","","","","","","bbc.co.uk/news","2017-04-11"
"bbc.com","BBC.com","Reliable","","","","","","BBC.com","2017-06-14"
"beforeitsnews.com","BeforeItsNews","Fake News","","<p>Cited by US President Donald Trump at his 2016 campaign rallies. Before Its News and Infowars were described as ""unabashedly unhinged 'news' sites"" in 2014 by the Washington Post following its promotion of conspiracy theories relation to Malaysia Airlines Flight 17.</p>","2017-04-10 20:08:39","Wikipedia","https://en.wikipedia.org/wiki/List_of_fake_news_websites","BeforeItsNews.com","2016-11-16"
"beingliberal.com","Being Liberal","Warning","","","","","","BeingLiberal.com","2016-11-16"
"bigamericannews.com","Big American News","Fake News","","","","","","BigAmericanNews.com","2016-11-16"
"bigpzone.com","BigPZone","Warning","","","","","","BigPZone.com","2016-11-16"
"bipartisanreport.com","Bipartisan Report","Warning","","","","","","BipartisanReport.com","2016-11-16"
"bizpacreview.com","BizPac Review","Political","BPR","<p>The site&#39;s About Us page says the following:&nbsp;</p><p roboto="""">	<strong>Conservative News You Can Trust</strong></p><p roboto="""">	Based in Palm Beach County, BizPac Review is a privately held, for-profit news and opinion website covering news that matters to conservatives throughout Florida and the United States.</p><p roboto="""">	Our articles and posts are fact-checked and edited, and BizPac Review content is accepted by and listed with Google News.</p><p roboto="""">	BizPac Review is a major new conservative media outlet that provides an alternative to legacy media in Palm Beach County, Florida and the nation.</p>","2017-06-14 17:47:11","IsItFakeNews research","http://www.bizpacreview.com/about-us","BizPacReview.com","2017-06-14"
"bizstandardnews.com","Biz Standard News","Fake News","","<p>Its stories have been mistaken as real-news then shared and cited as real-news.</p><p>Its disclaimer says the stories &quot;could be true&quot; because &quot;reality is so strange nowadays.&quot; But the disclaimer also says it&#39;s &quot;a satirical site designed to parody the 24-hour news cycle.&quot;</p><p>Its name is similar to the unrelated real-news daily newspaper called Business Standard.</p>","2017-04-08 16:38:11","Wikipedia","https://en.wikipedia.org/wiki/List_of_fake_news_websites","bizstandardnews.com","2017-04-08"
"blackinsurancenews.com","","Warning","","","","","","BlackInsuranceNews.com","2017-07-19"
"bloomberg.com","Bloomberg","Reliable","","","","","","bloomberg.com","2017-04-16"
"bloomberg.ma","Bloomberg.ma","Fake News","","<p>Designed to imitate Bloomberg.com. Was used to issue a false report announcing that Twitter had received a USD $31 billion takeover offer, the false report resulted in an 8% stock price spike of Twitter. Site now defunct.</p>","2017-04-08 16:34:57","Wikipedia","https://en.wikipedia.org/wiki/List_of_fake_news_websites","Bloomberg.ma","2017-04-08"
"bluenationreview.com","Blue Nation Review","Warning","","","","","","BlueNationReview.com","2016-11-16"
"bluevision.news","","Fake News","","","","","","BlueVision.news","2017-07-19"
"bluevisionpost.com","","Fake News","","","","","","BlueVisionPost.com","2017-07-19"
"borowitzreport.com","Borowitz Report","Satire","","<p>The Borowitz Report is published by The New Yorker with the tagline &quot;Not the news.&quot;</p>","2017-03-29 23:28:07","IsItFakeNews research","","BorowitzReport.com","2016-11-16"
"bostonglobe.com","Boston Globe","Reliable","","","","","","bostonglobe.com","2017-04-30"
"bostonleader.com","","Satire","","","","","","BostonLeader.com","2017-07-19"
"bostontribune.com","","Satire","","","","","","BostonTribune.com","2017-07-19"
"breitbart.com","Breitbart","Political","","","","","","Breitbart.com","2016-11-16"
"burrardstreetjournal.com","Burrardstreetjournal","Fake News","","<p>Burrardstreetjournal.com ran this erroneous pre-election headline: &ldquo;Obama Declares His Family Will Move To Canada If Trump Is Elected.</p>","2017-03-29 23:24:13","CBS News","http://www.cbsnews.com/pictures/dont-get-fooled-by-these-fake-news-sites/19/","Burrardstreetjournal.com","2016-12-20"
"buzzfeedusa.com","","Fake News","","","","","","BuzzFeedUSA.com","2017-07-19"
"cannasos.com","","Warning","","","","","","CannaSOS.com","2017-07-19"
"capnews.com","Cap News","Satire","","<p>The footer on Cap New&#39;s site says &quot;All material is satire.&quot;</p>","2017-03-29 23:28:18","IsItFakeNews research","","CapNews.com","2016-11-16"
"cbsnews.com","CBS News","Reliable","","","","","","cbsnews.com","2017-04-24"
"celebtricity.com","Celebtricity","Fake News","","<p>Has claimed:</p><ul>	<li>		President Obama declared a state of emergency in Chicago after more than 300 people were shot in one night.</li>	<li>		An employee at a Wendy&#39;s put vaginal discharge on a burger as revenge against a partner.</li>	<li>		Bryshere Y. Gray is Jay-Z&#39;s son.</li></ul>","2017-04-08 16:43:54","Wikipedia","https://en.wikipedia.org/wiki/List_of_fake_news_websites","celebtricity.com","2017-04-08"
"channel18news.com","","Warning","","","","","","Channel18News.com","2017-07-19"
"christiantimes.com","Christiantimes","Fake News","","<p>Before the election, the Christian Times Newspaper published an article alleging that &ldquo;tens of thousands&rdquo; of ballots pre-marked for Hillary Clinton had been found in a warehouse in Ohio. They had not.</p>","2017-03-29 23:24:23","CBS News","http://www.cbsnews.com/pictures/dont-get-fooled-by-these-fake-news-sites/13/","Christiantimes.com","2016-12-20"
"christiantimesnewspaper.com","","Warning","","","","","","ChristianTimesNewspaper.com","2017-07-19"
"christiantoday.info","","Fake News","","","","","","ChristianToday.info","2017-07-19"
"christwire.org","ChristWire","Satire","","<p>Christwire is a satirical website that publishes blog-style articles intended to ridicule excesses of American Christian conservatives. Recurring topics include homosexuality, atheism, Hollywood, and other purported threats to American culture.</p>","2017-03-29 23:22:53","Wikipedia","https://en.wikipedia.org/wiki/Christwire","ChristWire.org","2016-11-16"
"chron.com","Chron","Reliable","Houston Chronicle","","","","","chron.com","2017-04-27"
"chronicle.su","Chronicle.su","Satire","","","","","","Chronicle.su","2016-11-16"
"civictribune.com","Civic Tribune","Fake News","","<p>Civictribune.com is a satire site, but the tagline reads: &ldquo;Dedicated To The Truth.&quot;</p>","2017-03-29 23:24:40","CBS News","http://www.cbsnews.com/pictures/dont-get-fooled-by-these-fake-news-sites/14/","CivicTribune.com","2016-11-16"
"clashdaily.com","","Fake News","","","","","","ClashDaily.com","2017-07-19"
"clickhole.com","ClickHole","Satire","","<p>ClickHole is a satirical website from The Onion that parodies websites such as BuzzFeed and Upworthy.</p>","2017-03-29 23:23:02","Wikipedia","https://en.wikipedia.org/wiki/ClickHole","ClickHole.com","2016-11-16"
"cnbc.com","CNBC","Reliable","","","","","","cnbc.com","2017-04-20"
"cnn-trending.com","cnn-trending.com","Fake News","","Imitated a CNN site, complete with the CNN logo. Pushed the Hawking Code scam","2017-04-08 16:35:47","Wikipedia","https://en.wikipedia.org/wiki/List_of_fake_news_websites","cnn-trending.com","2017-04-08"
"cnn.com","CNN","Reliable","Cable News Network","","","","","cnn.com","2017-04-08"
"cnnews3.com","","Warning","","","","","","CNNews3.com","2017-07-19"
"coasttocoastam.com","CoastToCoastAM","Warning","","","","","","CoastToCoastAM.com","2016-11-16"
"coed.com","","Warning","","","","","","Coed.com","2017-07-19"
"collectiveevolution.com","Collective Evolution","Warning","","","","","","CollectiveEvolution.com","2016-11-16"
"consciouslifenews.com","Conscious Life News","Warning","","","","","","ConsciousLifeNews.com","2016-11-16"
"conservativedailypost.com","","Fake News","","","","","","ConservativeDailyPost.com","2017-07-19"
"conservativeflashnews.com","","Fake News","","","","","","ConservativeFlashNews.com","2017-07-19"
"conservativefrontline.com","Conservative Frontline","Fake News","","<p>Owned by Jestin Coler.</p>(Website is not responding as of April 10, 2017. --IsItFakeNews research)<!- IIFN 2-->","2017-04-10 20:02:07","Wikipedia","https://en.wikipedia.org/wiki/List_of_fake_news_websites","conservativefrontline.com","2017-04-10"
"conservativeinfocorner.com","","Fake News","","","","","","ConservativeInfoCorner.com","2017-07-19"
"conservativeoutfitters.com","Conservative Outfitters","Warning","","","","","","ConservativeOutfitters.com","2016-11-16"
"conservativespirit.com","","Fake News","","","","","","ConservativeSpirit.com","2017-07-19"
"countdowntozerotime.com","CountdownToZero Time","Warning","","","","","","CountdownToZeroTime.com","2016-11-16"
"counterpsyops.com","CounterPsyOps","Warning","","","","","","CounterPsyOps.com","2016-11-16"
"creambmp.com","Cream BMP","Satire","","<p>The websites footer calls itself &quot;Satirically funny news.&quot;</p>","2017-03-29 23:28:28","IsItFakeNews research","","CreamBMP.com","2016-11-16"
"dailybuzzlive.com","Daily Buzz Live","Fake News","","","","","","DailyBuzzLive.com","2016-11-16"
"dailycurrant.com","Daily Currant","Satire","","","","","","DailyCurrant.com","2016-11-16"
"dailyinfobox.com","","Fake News","","","","","","DailyInfoBox.com","2017-07-19"
"dailynews10.com","","Warning","","","","","","DailyNews10.com","2017-07-19"
"dailynews5.com","","Warning","","","","","","DailyNews5.com","2017-07-19"
"dailynewsposts.info","","Fake News","","","","","","DailyNewsPosts.info","2017-07-19"
"dailysnark.com","","Satire","","","","","","DailySnark.com","2017-07-19"
"dailysurge.com","","Fake News","","","","","","DailySurge.com","2017-07-19"
"dailyusaupdate.com","","Fake News","","","","","","DailyUSAUpdate.com","2017-07-19"
"dailywire.com","Daily Wire","Warning","","","","","","DailyWire.com","2016-11-16"
"dallasnews.com","Dallas News","Reliable","","","","","","dallasnews.com","2017-05-04"
"damnleaks.com","","Fake News","","","","","","DamnLeaks.com","2017-07-19"
"dcclothesline.com","DCClothesLine","Warning","","","","","","DCClothesLine.com","2016-11-16"
"dcgazette.com","DCGazette","Fake News","","<p>In the election&rsquo;s wake, there has been a debate over whether fake stories, such as the &ldquo;Dc Gazette&rdquo; headline above, could have influenced votes at a time when 62 percent of U.S. adults get their news from social media sites, according to the Pew Research Center.</p>","2017-03-29 23:24:49","CBS News","http://www.cbsnews.com/pictures/dont-get-fooled-by-these-fake-news-sites/","DCGazette.com","2016-11-16"
"democraticmoms.com","","Fake News","","","","","","DemocraticMoms.com","2017-07-19"
"denverguardian.com","Denver Guardian","Fake News","","There is no longer any content on their home page as of April 10, 2017","2017-04-10 20:04:27","IsItFakeNews research","","denverguardian.com","2017-04-10"
"denverinquirer.com","","Warning","","","","","","DenverInquirer.com","2017-07-19"
"denverpost.com","Denver Post","Reliable","","","","","","denverpost.com","2017-05-06"
"departedmedia.com","","Fake News","","","","","","DepartedMedia.com","2017-07-19"
"derfmagazine.com","Derf Magazine","Satire","","","","","","DerfMagazine.com","2016-11-16"
"disclose.tv","Disclose.tv","Warning","","","","","","Disclose.tv","2016-11-16"
"diyhours.net","","Fake News","","","","","","DIYHours.net","2017-07-19"
"donaldtrumppotus45.com","","Fake News","","","","","","DonaldTrumpPOTUS45.com","2017-07-19"
"drudgereport.com.co","DrudgeReport.com.co","Fake News","","<p>The is not DrudgeReport.com.</p><p>According to the site&#39;s About Me statement, &quot;Everybody loves unique and interesting facts. In the academic circles, facts are an important part of evidence to support onces assertions and ideas. The aim of this report is to prepare facts and information that is interesting to read and one that will blow the mind of the reader. However, am not an expert in any field. Rather, I am a writer and a blogger who also likes to entertain and provide some useful information to people. Thanks for visiting this site. It is my hope that you will enjoy the content.&quot;</p>","2017-03-29 23:28:39","IsItFakeNews research","","DrudgeReport.com.co","2016-11-16"
"duffleblog.com","Duffle Blog","Satire","","<p>Duffel Blog is an American military news satire organization featuring satirical articles reporting on national security and US military topics. It is often described as &quot;the military version of The Onion.&quot;It was founded in March 2012 by Marine veteran Paul Szoldra, originally as a way to drive web traffic to the now defunct website CollegeVeteran.com.</p>","2017-03-29 23:23:12","Wikipedia","https://en.wikipedia.org/wiki/Duffel_Blog","DuffleBlog.com","2016-11-16"
"duhprogressive.com","Duh Progressive","Satire","","","","","","DuhProgressive.com","2016-11-16"
"embols.com","Embols","Fake News","","","","","","Embols.com","2016-11-16"
"empireherald.com","Empire Herald","Fake News","","Another 2016 contender on the fake news scene was Empire Herald, which among other wild fabrications reported that a meth-addled couple ate a homeless man in Central Park. Created on 24 January 2016, the site managed to spread several (often recycled) fake news claims in the span of a few short weeks.","2017-03-28 18:03:51","Snopes.com","http://www.snopes.com/2016/01/14/fake-news-sites/","EmpireHerald.com","2016-11-16"
"empirenews.com","Empire News","Fake News","","<p>Empire News (spun off from what was initially a sports-related fake news site) is another outlet responsible for the propagation of fabricated claims that spread on sites like Facebook. Some of their stories are apolitical and simply compelling to readers, such as a claim the Netflix entertainment streaming service would be shuttering due to the negative impact of piracy, or one that Las Vegas planned to legalize dog fighting to boost casino revenues.</p><p>Many of this website's fake news hoaxes were widely shared on social media, with stories based off social or political controversies, or were simply appalling to readers.--<a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites"">Wikipedia</a></p><p>A disclaimer on the site reads: &ldquo;Our website and social media content uses only fictional names, except in cases of public figures and celebrity parody or satirization.&quot; --<a href=""http://www.cbsnews.com/pictures/dont-get-fooled-by-these-fake-news-sites/9/"">CBS News</a></p><!- IIFN 2-->","2017-03-28 18:04:40","Snopes.com","http://www.snopes.com/2016/01/14/fake-news-sites/","EmpireNews.com","2016-11-16"
"empirenews.net","","Satire","","","","","","EmpireNews.net","2017-07-19"
"empiresports.co","","Satire","","","","","","EmpireSports.co","2017-07-19"
"en-volve.com","","Fake News","","","","","","En-Volve.com","2017-07-19"
"endingthefed.com ","Endingthefed","Warning","","","","","","Endingthefed.com ","2016-11-16"
"enduringvision.com","EnduringVision","Fake News","","<p>Tagline is &quot;Bringing The World Satire and Love Since 1927&quot;</p>","2017-03-29 23:28:50","IsItFakeNews research","","EnduringVision.com","2016-11-16"
"enhlive.com","","Fake News","","","","","","ENHLive.com","2017-07-19"
"federalisttribune.com","","Fake News","","","","","","FederalistTribune.com","2017-07-19"
"fedsalert.com","","Fake News","","","","","","FedsAlert.com","2017-07-19"
"firstpost.com","","Warning","","","","","","FirstPost.com","2017-07-19"
"flashnewscorner.com","","Fake News","","","","","","FlashNewsCorner.com","2017-07-19"
"floridasunpost.com","","Satire","","","","","","FloridaSunPost.com","2017-07-19"
"focusnews.info","","Fake News","","","","","","FocusNews.info","2017-07-19"
"forbes.com","Forbes","Reliable","","","","","","forbes.com","2017-04-15"
"fortune.com","Fortune","Reliable","","","","","","fortune.com","2017-04-26"
"fox-news24.com","","Warning","","","","","","Fox-News24.com","2017-07-19"
"foxnews.com","Fox News","Reliable","","","","","","Foxnews.com","2017-06-14"
"fprnradio.com","FPRNradio","Fake News","","","","","","FPRNradio.com","2016-11-16"
"freedomcrossroads.us","","Fake News","","","","","","FreedomCrossroads.us","2017-07-19"
"freedomdaily.com","","Fake News","","","","","","FreedomDaily.com","2017-07-19"
"freedomsfinalstand.com","","Fake News","","","","","","FreedomsFinalStand.com","2017-07-19"
"freetelegraph.com","The Free Telegraph","Warning","Free Telegraph","<p>According to an AP investigation, The Free Telegraph was launched by the Republican Governors Association.</p><p>It ""looks like a media outlet and is branded as such on social media. The Free Telegraph blares headlines about the virtues of GOP governors, while framing Democrats negatively. It asks readers to sign up for breaking news alerts. It launched in the summer bearing no acknowledgement that it was a product of an official party committee whose sole purpose is to get more Republicans elected.""</p><p><span style=""font-family: FreightTextProBook, Georgia, &quot;Times New Roman&quot;, Times, serif; font-size: 16px;""><br></span></p>","2017-09-20 13:38:38","IsItFakeNews research","https://www.apnews.com/f97fbf53c0c84468ae046f861ecf3b64","freetelegraph.com","2017-09-20"
"freewoodpost.com","","Satire","","","","","","FreeWoodPost.com","2017-07-19"
"freshdailyreport.com","","Fake News","","","","","","FreshDailyReport.com","2017-07-19"
"geoengineeringwatch.org","GeoEngineering Watch","Warning","","","","","","GeoEngineeringWatch.org","2016-11-16"
"givemeliberty01.com","","Fake News","","","","","","GiveMeLiberty01.com","2017-07-19"
"globalpoliticsnow.com","","Fake News","","","","","","GlobalPoliticsNow.com","2017-07-19"
"govtslaves.info","Govt Slaves","Warning","","","","","","GovtSlaves.info","2016-11-16"
"gulagbound.com","Gulag Bound","Warning","","","","","","GulagBound.com","2016-11-16"
"gummypost.com","Gummy Post","Fake News","","<p>Fake news website that has published claims about President Obama issuing a full pardon for convicted rapper C-Murder, Musician Kodak Black getting shot outside a nightclub in Florida, and a Hulk Hogan death hoax.</p>","2017-04-10 20:10:23","Wikipedia","https://en.wikipedia.org/wiki/List_of_fake_news_websites","gummypost.com","2017-04-10"
"hangthebankers.com","Hang The Bankers","Warning","","","","","","HangTheBankers.com","2016-11-16"
"healthycareandbeauty.com","","Warning","","","","","","HealthyCareAndBeauty.com","2017-07-19"
"healthyworldhouse.com","","Fake News","","","","","","HealthyWorldHouse.com","2017-07-19"
"houstonchronicle-tv.com","","Warning","","","","","","HoustonChronicle-TV.com","2017-07-19"
"huffingtonpost.com","Huffington Post","Reliable","","","","","","huffingtonpost.com","2017-04-12"
"humansarefree.com","Humans Are Free","Warning","","","","","","HumansAreFree.com","2016-11-16"
"huzlers.com","Huzlers","Satire","","While National Report and World News Daily Report often take advantage of politically, socially, or religiously divisive issues to drive outrage-based traffic, Huzlers employs a markedly different approach to fake news hoaxes, often invoking the names of popular brands and restaurants in its quest to snare readers with gross-out stories.</p><p>Fake news from this website often involve popular restaurants and brands to disgust readers with its gross-out stories. One story by the site falsely reported that Dong Nguyen, the creator of Flappy Bird, killed himself. Another story made up an incident where a person working at a McDonald's restaurant put his mixtapes in Happy Meals. --<a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites"">Wikipedia</a></p><p>Huzlers.com admits the news is satire. But stories from the site that appear on social media might deceive casual readers. --<a href=""http://www.cbsnews.com/pictures/dont-get-fooled-by-these-fake-news-sites/11/"">CBS News</a></p><!- IIFN 2-->","2017-03-28 18:06:15","Snopes.com","http://www.snopes.com/2016/01/14/fake-news-sites/","Huzlers.com","2016-11-16"
"ifyouonlynews.com","IfYouOnlyNews","Fake News","","<p>We&rsquo;ll keep you up-to-date and entertained,&rdquo; the site boasts. However, headlines have been debunked as completely fake.</p>","2017-03-29 23:25:26","CBS News","http://www.cbsnews.com/pictures/dont-get-fooled-by-these-fake-news-sites/18/","IfYouOnlyNews.com","2016-11-16"
"ilovenativeamericans.us","","Warning","","","","","","ILoveNativeAmericans.us","2017-07-19"
"indecisionforever.com","Indecision Forever","Fake News","","","","","","IndecisionForever.com","2016-11-16"
"infowars.com","InfoWars","Fake News","","<p>Managed by Alex Jones. Has previously claimed that millions of people have voted illegally in the 2016 presidential election, that the Sandy Hook Elementary School shooting was a hoax, that the Boston Marathon bombing was a hoax, and that the Democratic Party was hosting a child sex slave ring out of a pizza restaurant.</p><p><p>The site is connected to Alex Jones, a radio host and conspiracy theorist who has alleged the Sandy Hook school shooting was a hoax. --<a href=""http://www.cbsnews.com/pictures/dont-get-fooled-by-these-fake-news-sites/5/"">CBS News</a></p><!- IIFN 2-->","2017-04-10 20:05:51","Wikipedia","https://en.wikipedia.org/wiki/List_of_fake_news_websites","InfoWars.com","2016-11-16"
"inquisitor.com","Inquisitor","Warning","","","","","","Inquisitor.com","2016-11-16"
"intellihub.com","IntelliHub","Warning","","","","","","IntelliHub.com","2016-11-16"
"interestingdailynews.com","","Fake News","","","","","","InterestingDailyNews.com","2017-07-19"
"isthatlegit.com","","Fake News","","","","","","IsThatLegit.com","2017-07-19"
"jewsnews.co.il","","Warning","","","","","","JewsNews.co.il","2017-07-19"
"jonesreport.com","Jones Report","Warning","","","","","","JonesReport.com","2016-11-16"
"kmt11.com","KMT 11 News","Fake News","","<p>Falsely reports celebrity appearances and filming locations in random local towns.</p>","2017-04-10 19:54:43","Wikipedia","https://en.wikipedia.org/wiki/List_of_fake_news_websites","kmt11.com","2017-04-10"
"konkonsagh.biz","","Fake News","","","","","","Konkonsagh.biz","2017-07-19"
"kqed.org","KQED","Reliable","","","","","","kqed.org","2017-10-24"
"ky12news.com","","Warning","","","","","","KY12News.com","2017-07-19"
"ladylibertysnews.com","","Fake News","","","","","","LadyLibertysNews.com","2017-07-19"
"lastdeplorables.com","","Fake News","","","","","","LastDeplorables.com","2017-07-19"
"latimes.com","LA Times","Reliable","Los Angeles Times","","","","","latimes.com","2017-04-23"
"learnprogress.org","","Warning","","","","","","LearnProgress.org","2017-07-19"
"lewrockwell.com","LewRockwell","Warning","","","","","","LewRockwell.com","2016-11-16"
"liberalamerica.com","Liberal America","Warning","","","","","","LiberalAmerica.com","2016-11-16"
"liberalplug.com","","Fake News","","","","","","LiberalPlug.com","2017-07-19"
"liberty-courier.com","","Fake News","","","","","","Liberty-Courier.com","2017-07-19"
"libertyalliance.com","","Fake News","","","","","","LibertyAlliance.com","2017-07-19"
"libertymovementradio.com","Liberty Movement Radio","Warning","","<p>Also known as LMR.</p><p>Mission Statement: Liberty Movement Radio was founded in 2012 by Eric Pitts at the height of the Ron Paul Campaigns for POTUS. We are still dedicated to bringing you 100% Liberty supporting radio 24/7.</p>","2017-03-29 23:29:02","IsItFakeNews research","","LibertyMovementRadio.com","2016-11-16"
"libertytalk.fm","LibertyTalk.fm","Warning","","","","","","LibertyTalk.fm","2016-11-16"
"libertyunyielding.com","Liberty Unyielding","Warning","","","","","","LibertyUnyielding.com","2016-11-16"
"libertyvideos.org","Liberty Videos.org","Warning","","","","","","LibertyVideos.org","2016-11-16"
"libertywritersnews.com","Liberty Writers News","Fake News","","<p>Liberty Writers New &quot;established in 2015 by Paris Wade and Ben Goldman, who told the Washington Post their stories focus on &quot;violence and chaos and aggressive wording&quot; to attract readers. The stories reflect the positions of supporters of Donald Trump.&quot;</p>","2017-03-29 23:23:21","Wikipedia","https://en.wikipedia.org/wiki/List_of_fake_news_websites","LibertyWritersNews.com","2016-12-06"
"linkbeef.com","LinkBeef","Fake News","","<p>Fake news website that has published claims about the pilot of Malaysia Airlines Flight 370 reappearing, a billionaire wanting to recruit 1,000 women to bear his children, and an Adam Sandler death hoax.</p>","2017-04-10 19:52:40","Wikipedia","https://en.wikipedia.org/wiki/List_of_fake_news_websites","linkbeef.com","2017-04-10"
"local31news.com","","Warning","","","","","","Local31News.com","2017-07-19"
"madworldnews.com","","Fake News","","","","","","MadWorldNews.com","2017-07-19"
"majorthoughts.com","","Fake News","","","","","","MajorThoughts.com","2017-07-19"
"mediamass.net","MediaMass.net","Fake News","","<p>MediaMass writes &quot;The website mediamass.net is the medium of our satire to expose with humour, exaggeration and ridicule the contemporary mass production and mass consumption that we observe.</p><p>Also it will not only mock the producers (mainstream media, journalists) as it is common when questioning and criticizing mass media, but also the consumers as one cannot exist without the other. Sensationalism, lack of verification of information, ethics and standards issues are only symptoms of the actual social and economic order. This is particularly obvious when observing the role of social networking sites in spreading rumours.&quot;</p>","2017-03-29 23:29:14","IsItFakeNews research","http://en.mediamass.net/blog/mediamass-project","MediaMass.net","2016-11-16"
"megynkelly.us","MegynKelly.us","Fake News","","<p>This is NOT Megyn Kelly&#39;s real website.</p><p>It now re-directs to the New York Times.</p>","2017-03-29 23:29:25","IsItFakeNews research","","MegynKelly.us","2016-11-16"
"mentor2day.com","","Warning","","","","","","Mentor2day.com","2017-07-19"
"mercurynews.com","Mercury News","Reliable","San Jose Mercury News","","","","","mercurynews.com","2017-05-02"
"metropolitanworlds.com","","Fake News","","","","","","MetropolitanWorlds.com","2017-07-19"
"miamiherald.com","Miami Herald","Reliable","","","","","","miamiherald.com","2017-05-05"
"mississippiherald.com","","Warning","","","","","","MIssissippiHerald.com","2017-07-19"
"msnbc.com","MSNBC","Reliable","","","","","","msnbc.com","2017-06-14"
"msnbc.com.co","MSNBC.com.co","Fake News","","","","","","MSNBC.com.co","2016-11-16"
"msnbc.website","MSNBC.website","Fake News","","<p>This site is NOT MSNBC.com. As of December 20, 2016, the server&#39;s DNS address could not be found and the site is no longer active.</p>","2017-03-29 23:29:36","IsItFakeNews research","","MSNBC.website","2016-11-16"
